Estado,Total, Enero ,Febrero ,Marzo ,Abril ,Mayo ,Junio ,Julio ,Agosto ,Septiembre ,Octubre ,Noviembre ,Diciembre
Aguascalientes ,  55, 3 ,  6 ,  5 ,  7 ,  15 ,  1 ,  5 ,  4 ,  3 ,  2 ,  0 ,  4
Baja California ,  459, 3 ,  28 ,  202 ,  31 ,  42 ,  26 ,  25 ,  34 ,  32 ,  16 ,  12 ,  8
Baja California Sur ,757,  68 ,  45 ,  37 ,  58 ,  60 ,  69 ,  75 ,  64 ,  67 ,  100 ,  58 ,  56
Campeche , 1 654,  108 ,  147 ,  211 ,  78 ,  100 ,  188 ,  236 ,  83 ,  184 ,  172 ,  121 ,  26 
Coahuila ,  222 ,  1 ,  15 ,  19 ,  12 ,  22 ,  22 ,  84 ,  10 ,  9 ,  13 ,  6 ,  9 
Colima ,  248,  24 ,  4 ,  4 ,  9 ,  5 ,  8 ,  24 ,  6 ,  22 ,  26 ,  72 ,  44 
Chiapas ,  916,  104 ,  182 ,  107 ,  79 ,  77 ,  94 ,  49 ,  48 ,  30 ,  61 ,  51 ,  34 
Chihuahua , 4 273 ,  341 ,  383 ,  410 ,  470 ,  382 ,  354 ,  464 ,  329 ,  308 ,  380 ,  233 ,  219 
Distrito Federal , 1 749,  101 ,  137 ,  149 ,  295 ,  147 ,  153 ,  185 ,  134 ,  111 ,  120 ,  117 ,  100 
Durango ,  374,  55 ,  19 ,  33 ,  26 ,  23 ,  26 ,  56 ,  27 ,  33 ,  35 ,  24 ,  17 
Guanajuato , 5 151,  739 ,  670 ,  653 ,  491 ,  310 ,  338 ,  406 ,  284 ,  332 ,  348 ,  329 ,  251 
Guerrero , 3 346,  243 ,  299 ,  270 ,  283 ,  286 ,  269 ,  293 ,  201 ,  261 ,  381 ,  330 ,  230 
Hidalgo , 2 279,  170 ,  188 ,  165 ,  166 ,  259 ,  155 ,  263 ,  284 ,  179 ,  249 ,  149 ,  52 
Jalisco , 4 390,  383 ,  286 ,  318 ,  343 ,  351 ,  345 ,  439 ,  341 ,  445 ,  501 ,  338 ,  300 
México , 11 431,  221 ,  347 ,  498 , 1 189 , 1 110 , 1 240 , 1 428 , 1 173 , 1 098 , 1 321 , 1 126 ,  680 
Michoacán , 7 666,  441 ,  471 ,  521 ,  542 ,  614 ,  530 ,  638 ,  792 ,  842 ,  992 ,  694 ,  589 
Morelos , 1 222,  35 ,  108 ,  105 ,  133 ,  85 ,  111 ,  94 ,  105 ,  126 ,  124 ,  105 ,  91 
Nayarit , 1 000,  52 ,  153 ,  74 ,  41 ,  75 ,  61 ,  68 ,  105 ,  63 ,  178 ,  60 ,  70 
Nuevo León , 2 236,  329 ,  373 ,  305 ,  177 ,  166 ,  176 ,  125 ,  121 ,  79 ,  157 ,  93 ,  135 
Oaxaca ,  572,  26 ,  27 ,  59 ,  90 ,  52 ,  43 ,  36 ,  42 ,  50 ,  61 ,  44 ,  42 
Puebla , 1 299,  85 ,  78 ,  98 ,  114 ,  138 ,  126 ,  168 ,  62 ,  145 ,  145 ,  82 ,  58 
Querétaro , 6 561,  399 ,  431 ,  536 ,  766 ,  471 ,  250 ,  461 ,  467 ,  648 ,  868 ,  686 ,  578 
Quintana Roo , 1 230,  58 ,  85 ,  87 ,  181 ,  148 ,  156 ,  124 ,  91 ,  83 ,  80 ,  76 ,  61 
San Luis Potosí ,  602,  31 ,  21 ,  24 ,  37 ,  40 ,  92 ,  53 ,  80 ,  69 ,  58 ,  60 ,  37 
Sinaloa ,  229,  21 ,  13 ,  4 ,  14 ,  37 ,  30 ,  26 ,  21 ,  15 ,  17 ,  12 ,  19 
Sonora ,  661,  56 ,  69 ,  56 ,  82 ,  19 ,  54 ,  42 ,  39 ,  54 ,  118 ,  34 ,  38 
Tabasco , 1 122,  38 ,  123 ,  36 ,  85 ,  73 ,  121 ,  146 ,  96 ,  106 ,  178 ,  83 ,  37 
Tamaulipas , 3 151,  161 ,  170 ,  241 ,  409 ,  264 ,  246 ,  315 ,  272 ,  329 ,  382 ,  290 ,  72 
Tlaxcala , 1 178,  58 ,  63 ,  82 ,  122 ,  101 ,  86 ,  125 ,  98 ,  104 ,  136 ,  107 ,  96 
Veracruz , 2 182,  184 ,  162 ,  127 ,  158 ,  159 ,  189 ,  221 ,  136 ,  204 ,  247 ,  192 ,  203 
Yucatán , 2 002,  148 ,  187 ,  141 ,  186 ,  161 ,  139 ,  161 ,  192 ,  154 ,  246 ,  142 ,  145 
Zacatecas , 1 126,  62 ,  84 ,  123 ,  87 ,  131 ,  110 ,  87 ,  86 ,  140 ,  132 ,  43 ,  41 
TOTAL GLOBAL , 71 343 , 4 748 , 5 374 , 5 700 , 6 761 , 5 923 , 5 808 , 6 922 , 5 827 , 6 325 , 7 844 , 5 769 , 4 342 
